date,restaurant,discount_meal_price,Member
2023-10-02,Hit wok,5.14,Oskar
2023-10-04,Joe Pena's Cantina y Bar,5.14,Oskar
2023-10-05,Joe Pena's Cantina y Bar,5.14,Oskar
2023-10-09,BURGER TIME,5.14,Oskar
2023-10-11,kitajska restavracija Novi Šanghai,4.34,Oskar
2023-10-12,Namaste Indian Express,3.14,Oskar
2023-10-16,Restavracija Fresco,5.1,Oskar
2023-10-17,Restavracija Fany & Mary,5.14,Oskar
2023-10-18,Kitajska restavracija Novi Šanghai,4.34,Oskar
2023-10-19,UFO,,Oskar
2023-10-20,Restavracija MANDALA - Podhod Ajdovščina,4.34,Oskar
2023-10-22,Joe Pena's Cantina y Bar,5.14,Oskar
2023-10-24,KOA Bistro & bar,5.14,Oskar
2023-10-25,BURGER TIME,5.14,Oskar
2023-10-26,UFO,3.7,Oskar
2023-10-30,Leteča zvezda,3.64,Oskar
2023-11-01,Šeherezada,2.5,Oskar
2023-11-03,Pizzeria in oštarija Fugazi,5.14,Oskar
2023-11-07,McDonald's restavracija - Železniška,2.64,Oskar
2023-11-08,Šeherezada 2,2.5,Oskar
2023-11-09,Menza BF,4.14,Oskar
2023-11-12,Baščaršija Koper Carpacciov trg,4.04,Oskar
2023-11-13,Pizzeria Foculus,5.14,Oskar
2023-11-14,Roza slon Bežigrad,3.64,Oskar
2023-11-15,Okrepčevalnica Marijanca,2.9,Oskar
2023-11-17,Restavracija Fresco,5.1,Oskar
2023-11-19,Restavracija sarajevskih jedi Valter Ljubljana,4.9,Oskar
2023-11-25,McDonald's restavracija - Železniška,2.64,Oskar
2023-11-26,Pizzeria Foculus,5.14,Oskar
2023-11-27,Kitajska restavracija Novi Šanghai,4.34,Oskar
2023-11-27,Restavracija Fresco,5.1,Oskar
2023-11-28,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-11-28,Zbornica bar in žar,5.14,Oskar
2023-11-29,Subway,2.64,Oskar
2023-11-30,Azijska restavracija Han,5.14,Oskar
2023-12-01,Restavracija Fresco,5.1,Oskar
2023-12-03,Restavracija Fresco,5.1,Oskar
2023-12-04,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-04,RIKŠA CURRY & WOK,4.3,Oskar
2023-12-05,RIKŠA CURRY & WOK,4.3,Oskar
2023-12-06,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-07,Pizzeria in oštarija Fugazi,5.14,Oskar
2023-12-08,Restavracija Skriti kot,5.14,Oskar
2023-12-12,Zbornica bar in žar,5.14,Oskar
2023-12-15,McDonald's restavracija - Cankarjeva,2.64,Oskar
2023-12-16,Pizzeria Šestinka,0.0,Oskar
2023-12-16,Kozlovna Poštna,5.14,Oskar
2023-12-18,Cantina QUE PASA,4.3,Oskar
2024-01-04,Pizzeria Foculus,5.14,Oskar
2024-01-05,"JOE PENA'S, mehiška restavracija",5.14,Oskar
2024-01-06,Restavracija Fany & Mary,5.14,Oskar
2024-01-07,Gostilnica in pivnica Kratochwill,5.14,Oskar
2024-01-13,Hiša pod gradom,5.14,Oskar
2024-01-14,Baščaršija Ljubljana Trubarjeva,4.3,Oskar
2024-01-16,Bistro Slovely,4.14,Oskar
2024-01-17,Pizzeria in oštarija Fugazi,5.14,Oskar
2024-01-18,Bistro Slovely,4.14,Oskar
2024-01-18,McDonald's restavracija - Cankarjeva,2.64,Oskar
2024-01-21,Baščaršija Ljubljana Trubarjeva,4.3,Oskar
2024-01-26,Restavracija Skriti kot,5.14,Oskar
2024-01-26,KOA Bistro & bar,4.99,Oskar
2024-01-28,ABI FALAFEL,5.14,Oskar
2024-01-29,Gostilnica Meta in Bazilika,5.14,Oskar
2024-01-30,Pizzeria Osmica,4.5,Oskar
2024-01-31,Subway,3.0,Oskar
2024-02-02,Hiša pod gradom,5.14,Oskar
2024-02-03,Pelmenarna,4.14,Oskar
2024-02-04,Restavracija Fany & Mary,5.14,Oskar
2024-02-05,"DA BU DA, Azijska restavracija",5.14,Oskar
2024-02-05,Cantina QUE PASA,4.3,Oskar
2024-02-06,"DA BU DA, Azijska restavracija",5.14,Oskar
2024-02-07,Pizzeria in oštarija Fugazi,5.14,Oskar
2024-02-08,Norma 23,4.94,Oskar
2024-02-08,RIKŠA CURRY & WOK,4.3,Oskar
2024-02-09,Pelmenarna,4.14,Oskar
2024-02-09,Cantina QUE PASA,4.3,Oskar
2023-10-05,Restavracija Shaolin,5.0,Ben
2023-10-07,Fari's,4.63,Ben
2023-10-10,Okrepčevalnica Marijanca,2.9,Ben
2023-10-10,Namaste Indian Express,3.14,Ben
2023-10-11,Okrepčevalnica Marijanca,2.9,Ben
2023-10-12,BURGER TIME,5.14,Ben
2023-10-18,Okrepčevalnica Marijanca,2.9,Ben
